DD,EE,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AAhpx_BBnqx_CCcqx,AAhpx_BBfnw_CCbmz
DDmx,,3.09,27.05,26.51,15.92,24.14,23.66
,  EEbhk,1.05,27.05,16.58,15.92,24.14,23.66
,  EEqz,3.09,25.76,0.78,12.92,21.60,22.88
,  EEmz,0.75,27.01,26.51,9.38,18.29,19.06
DDcjx,,8.46,27.51,12.83,14.92,26.34,24.57
,  EEdhv,5.72,26.81,12.83,14.79,23.93,23.48
,  EEmz,8.46,27.35,1.68,14.92,26.34,24.21
,  EEkqy,2.61,27.51,9.06,11.64,18.00,24.57
DDcy,,3.49,27.71,11.59,15.49,24.67,22.32
,  EEmpy,0.96,27.43,4.97,15.49,24.67,1.49
,  EEcrv,3.49,26.72,11.59,4.10,21.97,22.32
,  EEbkv,1.85,27.71,8.64,10.37,19.63,19.72
Maximum,,8.46,27.71,26.51,15.92,26.34,24.57
,  ,8.46,27.71,26.51,15.92,26.34,24.57
