AA,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,98.6
AAdk,BBtw,CChv,DDtv,EEmn,167.12
AAdk,BBtw,CChv,DDpw,EEfh,204.57
AAdk,BBtw,CChv,DDpq,EElp,206.32
AAdk,BBtw,CChv,DDcs,EEdn,462.02
AAdk,BBtw,CChv,DDnt,EEdn,336.53
AAdk,BBtw,CChv,DDtv,EEmn,240.77
AAdk,BBtw,CChv,DDpw,EEfh,306.81
AAdk,BBtw,CChv,DDpq,EElp,401.54
AAdk,BBtw,CChv,DDcs,EEdn,468.44
AAdk,BBtw,CChv,DDnt,EEdn,312.78
AAdk,BBtw,CChv,DDtv,EEmn,409.29
AAdk,BBtw,CChv,DDpw,EEfh,154.5
AAdk,BBtw,CChv,DDpq,EElp,219.86
AAdk,BBtw,CChv,DDcs,EEdn,414.61
