CC,DD,AAfnw_BBgv,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,Minimum,EE,FF
CCcy,,94.09,62.22,28.96,43.65,2.31,80.91,2.31,,
,  DDbmz,98.02,63.54,32.30,50.09,10.81,84.66,10.81,EEmz,FFgqt
,  DDbkv,94.09,62.22,28.96,43.65,2.31,81.21,2.31,EEhpx,FFlmr
,  DDhlt,98.58,76.57,36.75,57.53,25.38,80.91,25.38,EEhpx,FFcmp
CCkqy,,95.19,61.86,28.93,46.52,5.59,81.92,5.59,,
,  DDmx,99.38,77.18,38.89,59.95,27.95,81.92,27.95,EEmz,FFgqt
,  DDbsz,99.17,62.06,33.57,53.40,13.76,83.61,13.76,EEhpx,FFlmr
,  DDcwz,95.19,61.86,28.93,46.52,5.59,82.74,5.59,EEmz,FFbpv
CCbt,,91.85,61.96,28.86,40.97,0.95,80.19,0.95,,
,  DDmpy,99.29,62.01,32.61,54.53,17.30,83.36,17.30,EEmz,FFbpv
,  DDmx,91.85,61.96,28.86,40.97,0.95,80.19,0.95,EEmz,FFgqt
,  DDhpt,96.17,63.48,31.38,47.22,7.02,83.20,7.02,EEhpx,FFcmp
