DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAgqt_BBlmr_CCbmz,AAgqt_BBnqx_CCbpv,AApqr_BBfnw_CCprw,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm
DDmx,,15.40,21.04,14.49,27.58,10.92,24.94,6.31,16.18
,  EEqz,11.06,2.65,13.53,21.48,3.36,4.91,3.04,5.87
,  EEmz,9.63,21.04,11.52,27.58,8.69,13.99,0.33,16.18
,  EEbhk,15.40,3.23,14.49,25.46,10.92,24.94,6.31,3.01
DDcy,,15.46,22.20,26.77,27.38,10.41,25.27,7.97,20.73
,  EEcrv,9.40,1.26,13.23,6.91,3.03,22.03,3.25,6.06
,  EEmpy,15.46,22.20,16.13,27.32,10.41,25.27,7.97,20.73
,  EEbkv,10.65,21.96,26.77,27.38,9.23,19.79,1.42,16.05
DDcjx,,17.50,22.63,16.35,23.97,10.13,26.14,8.81,19.93
,  EEdhv,5.73,22.63,14.18,23.97,10.13,23.99,3.69,19.93
,  EEmz,17.50,22.35,16.35,6.90,10.10,26.14,8.81,0.82
,  EEkqy,10.27,2.48,4.23,21.32,3.77,17.71,2.54,4.45
