CC,DD,AApqr_BBnqx,AApqr_BBbpv,AApqr_BBbkv,AAmz_BBgqt,AAmz_BBcjx
CChpx,DDcmp,20.02,-23.63,62.43,-85.31,-40.58
,DDcwz,36.19,-1.40,-54.21,54.28,96.07
,DDlmr,8.80,-28.65,58.74,-92.90,81.93
,DDdlz,30.80,-19.91,68.77,-80.65,91.86
,DDmx,-95.50,-12.82,-57.26,-77.24,-37.29
CCbt,DDcwz,8.53,-35.23,-69.34,-87.37,83.25
,DDkrs,-94.14,-8.75,-56.51,52.82,-33.27
,DDmpy,31.16,-19.99,68.95,48.62,92.90
,DDbmz,26.62,-24.00,64.35,-85.41,-40.71
,DDmx,4.93,95.16,56.15,-92.44,-51.49
CCfnw,DDgv,28.21,-21.70,65.33,46.38,90.49
,DDqz,16.09,-24.71,-72.88,43.67,-43.51
,DDkrs,4.88,-29.84,57.60,-92.96,80.79
,DDknr,32.78,-15.73,-60.03,-79.26,-35.45
,DDlmr,-1.02,-4.49,-57.63,-78.04,-32.91
