CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,EE,FF
Minimum,,61.18,19.54,0.07,80.67,35.97,,
,  ,61.18,19.54,0.07,80.67,35.97,,
CCcy,,62.71,23.18,5.84,82.81,37.38,,
,  DDbmz,63.19,30.85,8.90,86.48,47.73,EEmz,FFgqt
,  DDbkv,62.71,23.18,5.84,82.81,37.38,EEmz,FFgqt
,  DDmx,73.97,34.37,16.86,91.48,53.58,EEmz,FFgqt
CCkqy,,62.91,27.73,7.45,83.97,43.23,,
,  DDbsz,67.09,31.35,8.78,87.42,49.86,EEmz,FFgqt
,  DDcwz,62.91,27.73,7.45,83.97,43.23,EEmz,FFgqt
,  DDbkv,74.79,35.42,18.54,95.26,59.31,EEmz,FFgqt
CCbt,,61.18,19.54,0.07,80.67,35.97,,
,  DDhpt,64.90,29.13,7.48,85.00,45.72,EEmz,FFgqt
,  DDmx,61.18,19.54,0.07,80.67,35.97,EEmz,FFgqt
,  DDmpy,70.10,32.49,15.50,89.30,51.84,EEmz,FFgqt
