DD,EE,AAhpx_BBnqx_CCcqx,AApqr_BBfnw_CCbpv,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCprw
DDcjx,,26.22,27.86,8.53,17.28,23.03
,  EEdhv,14.07,6.93,1.70,13.62,20.47
,  EEkqy,20.65,27.86,1.36,9.74,15.86
,  EEmz,26.22,9.31,8.53,17.28,23.03
DDcy,,21.99,27.83,6.43,16.60,21.22
,  EEcrv,21.23,25.36,4.00,13.71,19.98
,  EEmpy,21.99,9.09,6.43,16.60,21.22
,  EEbkv,19.14,27.83,1.84,10.01,14.01
DDmx,,21.33,27.38,3.29,14.41,20.34
,  EEqz,20.79,21.94,3.29,8.69,19.97
,  EEmz,18.40,27.38,0.77,9.15,14.40
,  EEbhk,21.33,8.13,1.72,14.41,20.34
Maximum,,26.22,27.86,8.53,17.28,23.03
,  ,26.22,27.86,8.53,17.28,23.03
