DD,EE,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCcqx,AAgqt_BBfnw_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv
Maximum,,15.38,7.11,25.99,23.85,17.60,27.97
,  ,15.38,7.11,25.99,23.85,17.60,27.97
DDcjx,,15.38,5.20,23.99,21.40,17.60,27.02
,  EEmz,15.38,5.20,17.91,4.01,17.60,8.31
,  EEdhv,12.12,4.39,23.99,21.40,14.05,6.73
,  EEkqy,8.87,1.84,20.25,17.84,10.07,27.02
DDmx,,13.71,6.10,21.08,23.85,12.02,27.72
,  EEmz,8.39,0.52,18.89,15.58,9.53,27.56
,  EEqz,11.92,2.61,21.08,17.79,11.52,27.39
,  EEbhk,13.71,6.10,19.56,23.85,12.02,27.72
DDcy,,13.33,7.11,25.99,3.30,12.34,27.97
,  EEbkv,0.86,1.87,19.47,3.30,10.35,27.97
,  EEcrv,12.86,4.54,22.42,0.64,12.34,27.16
,  EEmpy,13.33,7.11,25.99,1.91,11.29,1.35
