CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBgqt,AAmz_BBbpv
Average,,-15.01,-26.39,9.15,-3.22,-16.52,36.99
,  ,-15.01,-26.39,9.15,-3.22,-16.52,36.99
CCfnw,,-14.92,40.46,20.03,-25.08,3.83,58.34
,  DDgv,-14.80,54.04,28.62,-54.97,40.89,-36.18
,  DDkrs,-26.39,-1.05,2.70,64.41,-94.10,82.26
,  DDqz,-14.21,51.45,17.69,-58.66,28.16,87.61
,  DDmx,-4.28,57.39,31.12,-51.09,40.38,99.66
CCbt,,-16.38,-44.77,-16.40,5.76,-60.31,24.57
,  DDcwz,-17.71,-78.05,12.51,-59.78,-94.76,87.29
,  DDbmz,-12.38,-75.52,19.03,-54.80,39.71,-37.39
,  DDmpy,-7.86,-71.38,-99.00,75.24,-86.58,-30.78
,  DDmx,-27.56,45.89,1.85,62.39,-99.62,79.14
CChpx,,-13.72,-74.86,23.82,9.67,6.92,28.07
,  DDkrs,-1.63,-68.51,32.59,79.61,-86.63,-29.40
,  DDcmp,-13.70,-77.40,19.97,73.89,38.54,90.04
,  DDdlz,-10.96,-74.06,29.87,-52.46,40.65,94.50
,  DDlmr,-28.61,-79.48,12.85,-62.37,35.12,-42.85
