Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,259.11
AAdk,BBtw,CChv,DDtv,EEmn,261.1
AAdk,BBtw,CChv,DDpw,EEfh,645.55
AAdk,BBtw,CChv,DDnt,EElp,904.85
AAdk,BBtw,CChv,DDtv,EEfx,638.11
AAdk,BBtw,CChv,DDpw,EEhr,652.45
AAdk,BBtw,CChv,DDnt,EEhl,655.01
AAdk,BBtw,CChv,DDtv,EEkz,785.21
AAdk,BBtw,CChv,DDpw,EEht,402.31
AAdk,BBst,CChv,DDnt,EEdn,657.57
AAdk,BBst,CChv,DDtv,EEmn,146.65
AAdk,BBst,CChv,DDpw,EEfh,917.27
AAdk,BBst,CChv,DDnt,EElp,28.87
AAdk,BBst,CChv,DDtv,EEfx,156.09
AAdk,BBst,CChv,DDpw,EEhr,35.48
AAdk,BBst,CChv,DDnt,EEhl,679.33
AAdk,BBst,CChv,DDtv,EEkz,167.6
AAdk,BBst,CChv,DDpw,EEht,299.58
AAdk,BBtw,CChv,DDnt,EEdn,815.71
AAdk,BBtw,CChv,DDtv,EEmn,821.06
AAdk,BBtw,CChv,DDpw,EEfh,821.27
AAdk,BBtw,CChv,DDnt,EElp,587.31
AAdk,BBtw,CChv,DDtv,EEfx,587.37
AAdk,BBtw,CChv,DDpw,EEhr,591.92
AAdk,BBtw,CChv,DDnt,EEhl,600.81
AAdk,BBtw,CChv,DDtv,EEkz,735.1
AAdk,BBtw,CChv,DDpw,EEht,95.32
AAdk,BBst,CChv,DDnt,EEdn,609.81
AAdk,BBst,CChv,DDtv,EEmn,621.68
AAdk,BBst,CChv,DDpw,EEfh,494.44
AAdk,BBst,CChv,DDnt,EElp,879.75
AAdk,BBst,CChv,DDtv,EEfx,368.75
AAdk,BBst,CChv,DDpw,EEhr,628.58
AAdk,BBst,CChv,DDnt,EEhl,377.34
AAdk,BBst,CChv,DDtv,EEkz,506.29
AAdk,BBst,CChv,DDpw,EEht,894.07
