DD,EE,AAhpx_BBnqx_CCcqx,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv,Maximum
DDcjx,,24.65,26.36,15.79,8.93,27.40,27.40
,  EEkqy,18.60,15.53,2.50,2.37,27.32,27.32
,  EEbkv,24.65,26.36,15.79,8.93,27.40,27.40
,  EEdhv,23.56,20.78,10.94,5.38,25.82,25.82
DDmx,,23.32,27.36,15.55,5.90,27.82,27.82
,  EEmz,18.69,27.36,9.61,0.72,27.82,27.82
,  EEqz,21.31,0.39,12.03,3.89,27.35,27.35
,  EEbhk,23.32,21.01,15.55,5.90,27.39,27.39
DDcy,,22.24,18.37,16.69,7.02,27.57,27.57
,  EEmz,18.52,2.98,16.69,7.02,26.95,26.95
,  EEbkv,18.46,4.16,5.04,1.65,27.57,27.57
,  EEcrv,22.24,18.37,12.63,2.86,25.65,25.65
Maximum,,24.65,27.36,16.69,8.93,27.82,27.82
,  ,24.65,27.36,16.69,8.93,27.82,27.82
