Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,403.15
AAdk,BBtw,CChv,DDtv,EEmn,151.34
AAdk,BBtw,CChv,DDnt,EEfh,280.26
AAdk,BBtw,CChv,DDtv,EElp,411.38
AAdk,BBst,CChv,DDnt,EEdn,930.67
AAdk,BBst,CChv,DDtv,EEmn,548.06
AAdk,BBst,CChv,DDnt,EEfh,421.22
AAdk,BBst,CChv,DDtv,EElp,940.19
AAdk,BBrz,CChv,DDnt,EEdn,944.19
AAdk,BBrz,CChv,DDtv,EEmn,193.89
AAdk,BBrz,CChv,DDnt,EEfh,605.13
AAdk,BBrz,CChv,DDtv,EElp,736.1
AAdk,BBtw,CChv,DDnt,EEdn,485.14
AAdk,BBtw,CChv,DDtv,EEmn,358.82
AAdk,BBtw,CChv,DDnt,EEfh,618.09
AAdk,BBtw,CChv,DDtv,EElp,878.1
AAdk,BBst,CChv,DDnt,EEdn,367.76
AAdk,BBst,CChv,DDtv,EEmn,245.52
AAdk,BBst,CChv,DDnt,EEfh,891.32
AAdk,BBst,CChv,DDtv,EElp,892.7
