CC,DD,AAmz_BBhpt,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv
CCfnw,DDqz,-30.12,76.28,45.35,-36.91,25.51,53.48
,DDkrs,-14.73,80.26,-16.88,94.94,-42.70,-0.36
,DDgv,-14.56,83.03,52.78,95.00,31.60,65.02
CChpx,DDdlz,-11.86,-44.45,53.68,-6.33,-95.03,65.23
,DDlmr,47.84,-49.14,50.05,-32.98,-38.24,-67.84
,DDcmp,-19.11,79.07,-78.77,-33.49,28.54,-66.63
CCbt,DDmx,43.11,-50.75,-18.88,30.33,-47.30,-65.94
,DDbmz,-15.20,-46.92,51.70,96.51,-98.89,-71.77
,DDcwz,-23.22,-53.37,-83.82,92.93,16.84,-68.22
Average,,-4.21,8.22,6.13,33.34,-24.41,-17.45
