Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,644.4
AAdk,BBtw,CCst,DDnw,524.94
AAdk,BBtw,CChv,DDrz,785.29
AAdk,BBtw,CCst,DDcl,530.47
AAdk,BBtw,CChv,DDlp,411.45
AAdk,BBtw,CCst,DDnt,541.56
AAdk,BBrv,CChv,DDnt,543.34
AAdk,BBrv,CCst,DDnw,421.84
AAdk,BBrv,CChv,DDrz,557.66
AAdk,BBrv,CCst,DDcl,557.78
AAdk,BBrv,CChv,DDlp,951.4
AAdk,BBrv,CCst,DDnt,313.82
AAdk,BBmn,CChv,DDnt,66.08
AAdk,BBmn,CCst,DDnw,582.88
AAdk,BBmn,CChv,DDrz,200.45
AAdk,BBmn,CCst,DDcl,334.78
AAdk,BBmn,CChv,DDlp,848.11
AAdk,BBmn,CCst,DDnt,475.98
AAdk,BBtw,CChv,DDnt,606.08
AAdk,BBtw,CCst,DDnw,742.92
AAdk,BBtw,CChv,DDrz,106.39
AAdk,BBtw,CCst,DDcl,627.23
AAdk,BBtw,CChv,DDlp,502.53
AAdk,BBtw,CCst,DDnt,637.98
