DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBhpt_CCkrs,Average
DDmx,EEqz,37.05,78.48,4.06,59.10,92.37,54.21
,EEksy,-67.28,-42.59,27.96,69.46,-19.25,-6.34
,EEbhk,-95.81,-46.24,15.70,65.78,96.20,7.13
,EEbkv,-74.91,-38.97,-96.85,72.43,-3.19,-28.30
,EEmz,35.18,-56.39,1.40,58.50,93.50,26.44
DDcjx,EEqz,-69.23,92.17,34.29,74.82,-1.23,26.16
,EEdhv,-69.79,82.23,7.85,-63.95,98.70,11.01
,EEhq,-81.13,86.97,26.34,-60.19,-25.20,-10.64
,EEkqy,-91.38,77.49,4.80,-66.92,86.00,2.00
,EEmz,61.77,89.56,-99.90,-57.63,-14.49,-4.14
DDcy,EEbkv,-92.89,-57.88,2.87,61.24,94.44,1.56
,EEkqy,-70.96,-40.02,-96.91,-62.02,-2.59,-54.50
,EEjvz,50.77,-41.94,28.97,70.12,-15.20,18.54
,EEcrv,39.42,78.22,6.75,-64.33,-31.71,5.67
,EEmpy,43.24,82.84,19.94,67.86,-25.93,37.59
Average,,-29.73,22.93,-7.52,14.95,28.16,5.76
