DD,EE,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs
DDmx,EEbhk,13.04,-18.01,60.47,-91.37,-49.00
,EEmz,0.19,92.89,-74.76,28.37,71.36
,EEksy,23.10,-12.67,-62.78,-80.62,87.12
,EEqz,7.87,-25.92,-70.91,-95.73,74.94
DDcy,EEmpy,13.99,-17.24,-64.31,44.04,-48.70
,EEjvz,26.78,-6.07,-62.85,-76.12,-38.37
,EEcrv,8.06,-21.93,-68.51,34.98,-51.22
,EEbkv,1.40,93.10,54.67,-98.92,-58.52
DDcjx,EEmz,27.68,-3.60,70.71,-75.70,-38.65
,EEhq,20.88,-13.39,-63.78,45.83,77.28
,EEdhv,11.80,-19.37,60.25,-92.79,78.80
,EEkqy,3.30,90.87,-73.03,31.03,-55.52
