CC,DD,AAdn_BBrv,AAdn_BBpw,AAdk_BBmn,AAdk_BBtw
CCbx,,-68.38,-19.57,2.37,27.62
,  DDnw,-56.05,-8.20,-34.43,42.70
,  DDcs,-68.76,-22.07,-37.65,33.72
,  DDrz,-80.32,-28.44,79.20,6.43
CCst,,58.03,20.84,-1.06,-16.96
,  DDnw,47.55,99.93,-50.44,6.79
,  DDnt,66.85,-12.72,-35.03,-89.90
,  DDlp,59.70,-24.68,82.29,32.24
CChv,,-32.76,-26.86,-3.51,-22.13
,  DDcl,51.81,-28.78,78.92,21.89
,  DDhm,-64.67,-18.23,-35.38,-92.42
,  DDnt,-85.41,-33.57,-54.07,4.13
Average,,-14.37,-8.53,-0.73,-3.82
,  ,-14.37,-8.53,-0.73,-3.82
