Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,645.53
AApqr,BBnqx,CCbt,DDcy,EEbkv,777.79
AApqr,BBnqx,CCbt,DDcjx,EEkqy,651.59
AApqr,BBnqx,CCbt,DDmx,EEqz,11.51
AApqr,BBnqx,CCbt,DDcy,EEcrv,654.56
AApqr,BBnqx,CCbt,DDcjx,EEdhv,398.86
AApqr,BBnqx,CCbt,DDmx,EEbhk,400.9
AApqr,BBnqx,CCbt,DDcy,EEmz,783.1
AApqr,BBnqx,CCbt,DDcjx,EEbkv,142.13
AApqr,BBfnw,CCbt,DDmx,EEmz,532.89
AApqr,BBfnw,CCbt,DDcy,EEbkv,536.93
AApqr,BBfnw,CCbt,DDcjx,EEkqy,924.24
AApqr,BBfnw,CCbt,DDmx,EEqz,797.2
AApqr,BBfnw,CCbt,DDcy,EEcrv,417.75
AApqr,BBfnw,CCbt,DDcjx,EEdhv,802.15
AApqr,BBfnw,CCbt,DDmx,EEbhk,163.97
AApqr,BBfnw,CCbt,DDcy,EEmz,419.22
AApqr,BBfnw,CCbt,DDcjx,EEbkv,932.28
AApqr,BBlmr,CCbt,DDmx,EEmz,164.5
AApqr,BBlmr,CCbt,DDcy,EEbkv,172.58
AApqr,BBlmr,CCbt,DDcjx,EEkqy,302.71
AApqr,BBlmr,CCbt,DDmx,EEqz,302.98
AApqr,BBlmr,CCbt,DDcy,EEcrv,954.46
AApqr,BBlmr,CCbt,DDcjx,EEdhv,700.38
AApqr,BBlmr,CCbt,DDmx,EEbhk,831.9
AApqr,BBlmr,CCbt,DDcy,EEmz,969.88
AApqr,BBlmr,CCbt,DDcjx,EEbkv,202.73
AApqr,BBnqx,CCbt,DDmx,EEmz,76.12
AApqr,BBnqx,CCbt,DDcy,EEbkv,461.71
AApqr,BBnqx,CCbt,DDcjx,EEkqy,977.83
AApqr,BBnqx,CCbt,DDmx,EEqz,343.4
AApqr,BBnqx,CCbt,DDcy,EEcrv,603.55
AApqr,BBnqx,CCbt,DDcjx,EEdhv,480.67
AApqr,BBnqx,CCbt,DDmx,EEbhk,225.77
AApqr,BBnqx,CCbt,DDcy,EEmz,357.6
AApqr,BBnqx,CCbt,DDcjx,EEbkv,870.12
AApqr,BBfnw,CCbt,DDmx,EEmz,109.37
AApqr,BBfnw,CCbt,DDcy,EEbkv,879.39
AApqr,BBfnw,CCbt,DDcjx,EEkqy,368.75
AApqr,BBfnw,CCbt,DDmx,EEqz,753.36
AApqr,BBfnw,CCbt,DDcy,EEcrv,501.14
AApqr,BBfnw,CCbt,DDcjx,EEdhv,759.99
AApqr,BBfnw,CCbt,DDmx,EEbhk,760.21
AApqr,BBfnw,CCbt,DDcy,EEmz,638.73
AApqr,BBfnw,CCbt,DDcjx,EEbkv,255.33
