DD,EE,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt,Average
DDmx,,4.41,43.34,17.34,-26.96,9.54
,  EEksy,26.55,-49.91,56.26,-21.37,2.88
,  EEbhk,21.54,76.34,52.62,-26.12,31.09
,  EEqz,16.05,73.39,42.18,-33.53,24.52
,  EEmz,-46.48,73.53,-81.69,-26.80,-20.36
DDcy,,22.38,10.91,-14.01,7.49,6.69
,  EEmpy,22.97,76.65,-75.99,-25.42,-0.45
,  EEbkv,17.73,-56.97,48.14,-24.62,-3.93
,  EEjvz,31.93,-50.48,-71.05,-18.46,-27.02
,  EEcrv,16.89,74.42,42.87,98.47,58.16
DDcjx,,8.98,13.43,-44.56,-21.76,-10.98
,  EEhq,24.96,78.52,54.35,-25.83,33.00
,  EEkqy,-41.39,-51.25,-78.45,-18.48,-47.39
,  EEdfk,32.72,81.31,-70.30,-13.66,7.52
,  EEdhv,19.63,-54.87,-83.85,-29.06,-37.04
