DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs,AAgqt_BBdfv_CCkrs,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBbwx_CCcqx,AAhpx_BBlsx_CCcqx,Average
DDmx,,44.32,-62.80,-20.09,86.59,-48.33,12.71,64.47,-13.01,-81.13,-1.92
,  EEbhk,54.98,-91.34,-23.96,91.43,-41.45,24.10,69.46,-7.56,-72.75,0.32
,  EEqz,42.22,-96.60,-28.38,90.07,-44.81,14.98,64.22,-13.62,-83.42,-6.15
,  EEmz,35.75,-0.46,-7.93,78.28,-58.73,-0.94,59.74,-17.86,-87.21,0.07
DDcjx,,48.37,-93.21,-24.69,56.61,-41.19,21.19,68.58,-8.63,-72.02,-5.00
,  EEdhv,46.22,-92.08,-24.86,91.64,-42.32,17.00,67.20,-8.84,-74.78,-2.31
,  EEkqy,39.17,-98.68,-28.94,79.02,-45.82,10.72,61.46,-13.12,-82.20,-8.71
,  EEmz,59.72,-88.87,-20.26,-0.84,-35.43,35.84,77.07,-3.92,-59.09,-3.98
DDcy,,47.16,-64.36,-27.26,88.89,-43.16,19.26,66.47,-11.90,-75.77,-0.07
,  EEmpy,58.49,-91.04,-24.00,95.19,-39.26,32.44,75.28,-6.83,-64.95,3.92
,  EEbkv,38.88,-7.97,-31.44,79.85,-46.48,9.98,59.37,-15.29,-83.60,0.37
,  EEcrv,44.11,-94.08,-26.34,91.63,-43.75,15.37,64.77,-13.57,-78.76,-4.51
