DD,EE,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,Maximum
DDcy,EEmpy,7.69,5.08,6.93,11.68,25.29,11.36,16.92,21.81,25.29
,EEcrv,5.78,3.61,27.97,10.98,21.21,13.65,13.43,18.03,27.97
,EEbkv,17.65,0.39,23.25,0.36,20.36,6.57,13.97,18.44,23.25
DDcjx,EEdhv,19.28,5.18,6.17,11.34,22.71,14.04,15.84,19.46,22.71
,EEmz,20.70,5.39,7.76,12.44,25.69,8.30,16.16,26.37,26.37
,EEkqy,5.81,2.44,24.09,9.28,20.61,11.76,13.79,18.73,24.09
DDmx,EEbhk,19.04,6.12,26.94,11.13,1.91,14.82,3.63,22.62,26.94
,EEmz,3.04,0.14,23.31,8.46,20.88,9.79,13.18,18.65,23.31
,EEqz,18.90,3.67,24.60,9.64,21.25,7.61,13.38,18.93,24.60
Maximum,,20.70,6.12,27.97,12.44,25.69,14.82,16.92,26.37,27.97
