CC,DD,AAfnw_BBgv,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,EE,FF
CCkqy,,90.02,55.27,15.25,3.96,69.68,43.78,,
,  DDbsz,95.61,59.80,21.85,7.22,72.54,46.00,EEmz,FFlmr
,  DDbkv,98.57,64.68,30.45,10.72,83.64,51.09,EEmz,FFgqt
,  DDcwz,90.02,55.27,15.25,3.96,69.68,43.78,EEmz,FFgqt
CCcy,,89.80,55.19,13.87,1.75,67.41,42.65,,
,  DDmx,96.53,61.33,28.31,5.40,76.89,48.30,EEmz,FFlmr
,  DDbmz,94.81,58.42,19.83,6.67,72.08,45.56,EEmz,FFgqt
,  DDbkv,89.80,55.19,13.87,1.75,67.41,42.65,EEmz,FFlmr
CCbt,,84.48,54.16,6.27,0.29,66.50,31.48,,
,  DDhpt,93.38,57.55,17.20,5.87,70.12,42.21,EEmz,FFlmr
,  DDmx,84.48,54.16,6.27,0.29,66.50,31.48,EEmz,FFgqt
,  DDmpy,96.57,60.73,25.14,8.10,75.75,44.14,EEmz,FFgqt
