Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,387.45
AAdk,BBtw,CChv,DDtv,EEmn,520.85
AAdk,BBtw,CChv,DDpw,EEfh,779.49
AAdk,BBtw,CChv,DDnt,EElp,781.4
AAdk,BBtw,CChv,DDtv,EEfx,273.94
AAdk,BBtw,CChv,DDpw,EEhr,663.78
AAdk,BBtw,CChv,DDnt,EEhl,151.84
AAdk,BBtw,CChv,DDtv,EEdn,284.18
AAdk,BBtw,CChv,DDpw,EEmn,158.74
AAdk,BBst,CChv,DDnt,EEdn,159.78
AAdk,BBst,CChv,DDtv,EEmn,288.31
AAdk,BBst,CChv,DDpw,EEfh,417.8
AAdk,BBst,CChv,DDnt,EElp,807.44
AAdk,BBst,CChv,DDtv,EEfx,682.65
AAdk,BBst,CChv,DDpw,EEhr,690.87
AAdk,BBst,CChv,DDnt,EEhl,695.43
AAdk,BBst,CChv,DDtv,EEdn,440.05
AAdk,BBst,CChv,DDpw,EEmn,197.66
AAdk,BBtw,CChv,DDnt,EEdn,973.47
AAdk,BBtw,CChv,DDtv,EEmn,845.38
AAdk,BBtw,CChv,DDpw,EEfh,591.04
AAdk,BBtw,CChv,DDnt,EElp,850.23
AAdk,BBtw,CChv,DDtv,EEfx,213.12
AAdk,BBtw,CChv,DDpw,EEhr,730.58
AAdk,BBtw,CChv,DDnt,EEhl,352.61
AAdk,BBtw,CChv,DDtv,EEdn,97.09
AAdk,BBtw,CChv,DDpw,EEmn,480.36
AAdk,BBst,CChv,DDnt,EEdn,618.56
AAdk,BBst,CChv,DDtv,EEmn,492.03
AAdk,BBst,CChv,DDpw,EEfh,114.78
AAdk,BBst,CChv,DDnt,EElp,754.41
AAdk,BBst,CChv,DDtv,EEfx,252.61
AAdk,BBst,CChv,DDpw,EEhr,756.32
AAdk,BBst,CChv,DDnt,EEhl,374.98
AAdk,BBst,CChv,DDtv,EEdn,887.12
AAdk,BBst,CChv,DDpw,EEmn,380.25
