DD,EE,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs
DDcy,,26.38,24.31,17.01,25.91,7.57,26.45,23.68,16.72
,  EEmpy,15.82,24.31,1.43,5.99,7.57,3.28,23.68,16.72
,  EEbkv,26.38,19.63,16.14,19.21,0.93,26.45,7.22,10.59
,  EEcrv,3.99,18.20,17.01,25.91,1.96,2.44,21.58,13.64
DDcjx,,15.61,25.59,18.57,26.17,8.92,27.00,24.50,15.22
,  EEdhv,14.38,23.92,18.57,6.82,5.41,27.00,21.38,13.57
,  EEmz,15.61,25.59,6.20,26.17,8.92,0.53,24.50,15.22
,  EEkqy,1.03,20.72,16.95,24.06,2.95,8.82,20.57,11.42
DDmx,,26.14,24.59,17.59,26.15,6.03,8.05,26.62,15.92
,  EEbhk,14.29,24.59,6.64,24.28,6.03,3.36,26.62,15.92
,  EEmz,26.14,16.48,4.58,21.59,0.89,7.74,19.07,8.57
,  EEqz,12.55,21.64,17.59,26.15,3.75,8.05,21.87,12.37
