CC,DD,AAcqx_BBgv,AAcqx_BBcjx,AApqr_BBqz,AApqr_BBnqx,AApqr_BBlt,AAfnw_BBkrs,AAfnw_BBbgp,Minimum,EE,FF
CCcy,,66.18,24.64,39.85,2.15,90.06,6.23,45.52,2.15,,
,  DDhpt,70.99,30.02,42.46,2.29,97.49,12.42,45.52,2.29,EEmz,FFgqt
,  DDbsz,84.65,33.37,45.89,6.13,99.21,22.31,58.27,6.13,EEmz,FFgqt
,  DDbkv,66.18,24.64,39.85,2.15,90.06,6.23,46.21,2.15,EEmz,FFgqt
CCbt,,61.54,22.67,34.90,1.22,86.93,5.88,46.12,1.22,,
,  DDbmz,72.32,31.75,42.05,5.75,98.11,15.03,54.18,5.75,EEmz,FFgqt
,  DDmx,61.54,22.67,34.90,1.22,86.93,5.88,46.45,1.22,EEmz,FFgqt
,  DDcwz,66.74,25.98,39.35,2.88,90.89,11.23,46.12,2.88,EEmz,FFgqt
Minimum,,61.54,22.67,34.90,1.22,86.93,5.88,45.52,1.22,,
,  ,61.54,22.67,34.90,1.22,86.93,5.88,45.52,1.22,,
