DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt
DDcjx,,-16.66,-11.11,55.47,7.84
,  EEkqy,-58.61,7.38,45.77,-35.81
,  EEdhv,77.62,17.53,53.67,97.73
,  EEmz,-40.24,-90.52,63.43,-7.83
,  EEhq,-45.43,21.19,58.99,-22.74
DDcy,,19.66,17.91,-45.63,5.50
,  EEbkv,66.00,2.54,-88.40,90.50
,  EEcrv,-57.51,13.98,-81.08,-35.05
,  EEmpy,78.83,20.58,56.34,-25.17
,  EEjvz,-8.66,34.54,-69.39,-8.30
DDmx,,75.54,16.35,-46.82,-21.42
,  EEqz,71.54,12.55,-82.16,-7.49
,  EEbhk,78.38,19.66,55.62,-28.39
,  EEksy,85.80,32.85,-69.78,-11.60
,  EEmz,66.44,0.34,-90.96,-38.21
