DD,EE,AArv_BBst_CCnw,AArv_BBtw_CCmx,AAbx_BBst_CChm,AAbx_BBtw_CCdt,AAdk_BBst_CCdl,AAdk_BBtw_CChv
DDnt,,11.42,27.92,17.86,15.01,23.79,5.64
,  EEfh,5.59,27.92,17.86,15.01,21.82,2.71
,  EEdn,7.90,25.04,16.58,13.40,19.40,1.74
,  EEfx,11.42,27.79,7.12,9.69,23.79,5.64
DDtv,,6.90,25.87,16.98,18.52,22.93,6.46
,  EEmn,6.90,19.67,16.98,14.83,20.58,1.21
,  EElp,1.56,25.87,5.70,14.44,22.93,4.48
,  EEhr,5.45,15.15,3.89,18.52,22.28,6.46
Maximum,,11.42,27.92,17.86,18.52,23.79,6.46
,  ,11.42,27.92,17.86,18.52,23.79,6.46
