DD,EE,AApqr_BBhpt_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt,AAgqt_BBlsx_CCcqx,Average
DDcy,EEbkv,78.24,5.76,54.51,30.75,-64.28,93.18,33.03
,EEcrv,-49.46,12.61,-71.75,34.41,-60.93,-25.93,-26.84
,EEmz,86.48,25.43,-67.14,45.54,-54.78,-16.35,3.20
DDmx,EEbhk,-45.84,18.02,60.12,-86.86,-54.89,-18.18,-21.27
,EEqz,78.38,9.97,57.00,33.07,68.62,98.50,57.59
,EEmz,77.49,4.00,53.81,-99.42,55.28,-41.25,8.32
DDcjx,EEbkv,-42.88,27.07,-67.08,-75.26,-52.00,-8.50,-36.44
,EEdhv,80.06,17.18,59.50,39.35,-57.33,-20.53,19.70
,EEkqy,76.84,8.86,54.48,-96.31,64.43,95.02,33.89
Average,,37.70,14.32,14.83,-19.41,-17.32,17.33,7.91
