CC,DD,AApqr_BBbkv,AApqr_BBbpv,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBcjx,AAmz_BBhpt
CCfnw,,-45.91,32.18,12.17,-92.53,44.42,-17.09
,  DDkrs,-89.38,-36.92,1.97,-97.80,67.47,-32.48
,  DDgv,-72.38,98.44,16.06,-91.48,-49.47,-13.70
,  DDknr,-69.86,-28.32,23.88,-87.80,83.59,-4.02
,  DDqz,47.99,95.53,6.76,-93.05,76.10,-18.16
CCbt,,17.84,60.68,10.33,-61.59,9.70,12.87
,  DDmpy,-69.95,99.28,22.48,40.57,81.43,-6.39
,  DDcwz,45.01,93.22,5.09,-95.44,-59.72,-20.69
,  DDbmz,52.35,-36.89,11.97,-91.86,79.73,-18.99
,  DDmx,43.95,87.10,1.79,-99.65,-62.63,97.57
CChpx,,18.54,-0.04,14.54,4.87,47.90,-13.29
,  DDdlz,56.60,-29.23,17.30,-90.90,-47.72,-9.96
,  DDcmp,49.39,-33.04,10.47,35.53,78.61,-17.94
,  DDmx,-66.42,98.93,29.40,41.37,93.94,-3.24
,  DDlmr,34.57,-36.82,1.00,33.49,66.76,-22.01
