CC,DD,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBbpv,AAmz_BBgqt
CChpx,DDcmp,-12.50,59.97,17.96,-41.38,43.29,-52.28,32.63
,DDmx,-5.66,62.21,26.27,97.17,48.30,79.47,-97.52
,DDlmr,-26.50,55.73,14.52,83.51,38.92,-55.41,27.23
CCbt,DDbmz,-9.11,-68.98,20.93,-36.70,-81.03,76.34,-97.95
,DDcwz,-26.25,56.41,14.25,85.16,39.74,-54.85,30.60
,DDmx,-6.66,-77.78,9.93,-47.00,-94.61,-60.01,27.81
CCfnw,DDqz,-16.03,59.00,15.27,87.22,39.37,-55.37,-97.09
,DDkrs,-29.52,53.43,13.82,82.80,36.35,69.43,26.61
,DDgv,-6.02,-68.25,21.62,-32.83,-80.49,79.75,-94.68
Average,,-15.36,14.64,17.17,30.88,-1.13,3.01,-26.93
