DD,EE,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAgqt_BBnqx_CCbpv,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm
Maximum,,15.08,17.83,25.38,27.79,26.00,10.27,7.57,20.86
,  ,15.08,17.83,25.38,27.79,26.00,10.27,7.57,20.86
DDmx,,14.84,13.33,23.67,27.78,22.51,10.27,6.91,18.67
,  EEbhk,14.84,13.33,23.67,27.78,22.51,10.27,6.91,7.94
,  EEmz,11.10,9.79,7.47,26.88,13.29,8.28,2.91,17.20
,  EEqz,13.48,11.16,22.66,23.40,17.37,9.37,3.06,18.67
DDcjx,,14.34,17.83,25.38,27.24,26.00,9.00,4.27,20.86
,  EEdhv,14.34,13.60,22.88,0.11,20.32,3.69,4.27,2.08
,  EEmz,4.06,17.83,25.38,27.24,26.00,4.10,4.08,20.86
,  EEkqy,12.52,11.80,21.46,25.87,20.81,9.00,2.38,5.72
DDcy,,15.08,16.96,23.05,27.79,19.30,9.91,7.57,20.68
,  EEmpy,15.08,16.96,23.05,25.16,18.60,3.60,7.57,20.68
,  EEcrv,13.79,13.42,3.32,26.41,16.97,9.91,4.32,5.94
,  EEbkv,11.02,10.05,21.52,27.79,19.30,9.24,0.90,4.11
