AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,520.08
AAdk,BBtw,CCst,DDnw,655.77
AAdk,BBtw,CChv,DDrz,528.19
AAdk,BBtw,CCst,DDcl,664.97
AAdk,BBtw,CChv,DDlp,543.55
AAdk,BBtw,CCst,DDcs,544.38
AAdk,BBrv,CChv,DDnt,931.68
AAdk,BBrv,CCst,DDnw,932.83
AAdk,BBrv,CChv,DDrz,551.61
AAdk,BBrv,CCst,DDcl,173.65
AAdk,BBrv,CChv,DDlp,47.99
AAdk,BBrv,CCst,DDcs,305.71
AAdk,BBmn,CChv,DDnt,313.35
AAdk,BBmn,CCst,DDnw,586.26
AAdk,BBmn,CChv,DDrz,718.77
AAdk,BBmn,CCst,DDcl,847.06
AAdk,BBmn,CChv,DDlp,339.91
AAdk,BBmn,CCst,DDcs,86.08
AAdk,BBtw,CChv,DDnt,866.51
AAdk,BBtw,CCst,DDnw,105.21
AAdk,BBtw,CChv,DDrz,245.67
AAdk,BBtw,CCst,DDcl,886.63
AAdk,BBtw,CChv,DDlp,377.8
AAdk,BBtw,CCst,DDcs,382.16
