CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAfnw_BBqz,AAfnw_BBkrs,Minimum,EE,FF
CCkqy,,91.07,10.65,50.70,78.32,33.14,10.65,,
,  DDbkv,99.88,20.03,71.68,88.56,46.82,20.03,EEmz,FFbpv
,  DDbsz,91.09,16.59,57.66,85.04,42.76,16.59,EEhpx,FFbpv
,  DDcwz,91.07,10.65,50.70,78.32,33.14,10.65,EEmz,FFbpv
CCbt,,89.07,7.94,48.42,75.68,22.22,7.94,,
,  DDmpy,96.17,17.49,63.87,86.80,43.47,17.49,EEmz,FFgqt
,  DDmx,89.07,7.94,48.42,75.68,22.22,7.94,EEmz,FFgqt
,  DDhpt,93.78,9.66,51.39,79.89,34.35,9.66,EEhpx,FFgqt
CCcy,,91.13,9.56,49.54,77.00,23.54,9.56,,
,  DDmx,98.51,18.62,69.18,87.12,46.01,18.62,EEhpx,FFlmr
,  DDbkv,91.13,9.56,49.54,77.00,23.54,9.56,EEhpx,FFlmr
,  DDbmz,94.32,11.39,51.95,83.48,35.68,11.39,EEmz,FFlmr
Minimum,,89.07,7.94,48.42,75.68,22.22,7.94,,
,  ,89.07,7.94,48.42,75.68,22.22,7.94,,
