DD,EE,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBlsx_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt
DDcy,EEbkv,64.20,-95.22,-23.38,-53.91,-80.51,11.17
,EEcrv,67.63,-91.44,-17.97,83.02,-76.86,17.13
,EEmpy,-58.74,-84.21,-10.07,90.43,-71.71,28.62
DDcjx,EEhq,-56.27,46.66,-9.02,-34.60,57.21,29.24
,EEkqy,-62.82,34.79,-22.65,75.72,50.72,13.28
,EEdhv,-59.78,38.80,-15.09,-42.95,53.90,25.91
DDmx,EEbhk,70.05,-91.79,-12.32,89.02,-77.86,27.86
,EEqz,67.77,-93.33,-22.24,-48.40,-77.16,14.77
,EEmz,59.93,-96.59,-27.57,71.09,-81.83,3.86
Average,,10.22,-48.04,-17.81,25.49,-33.79,19.09
