CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AAfnw_BBbgp,AAfnw_BBkrs,EE,FF
CCcy,,46.87,86.38,7.92,62.70,77.85,27.08,,
,  DDbkv,46.87,86.38,7.92,62.70,77.85,27.08,EEhpx,FFlmr
,  DDbmz,49.44,91.37,14.03,69.98,80.86,29.51,EEmz,FFgqt
,  DDhlt,53.01,95.28,20.17,72.07,81.62,36.03,EEhpx,FFlmr
CCkqy,,46.81,88.96,8.19,64.85,72.29,28.20,,
,  DDhk,56.67,96.11,22.63,74.66,84.41,40.59,EEmz,FFgqt
,  DDbsz,51.95,93.64,17.61,72.94,79.33,28.20,EEhpx,FFlmr
,  DDcwz,46.81,88.96,8.19,64.85,72.29,28.38,EEmz,FFgqt
CCbt,,45.50,79.35,3.65,58.05,76.03,26.28,,
,  DDhpt,49.68,90.96,14.27,64.65,79.95,28.33,EEhpx,FFlmr
,  DDmpy,51.12,94.89,17.10,72.80,82.98,32.51,EEmz,FFgqt
,  DDmx,45.50,79.35,3.65,58.05,76.03,26.28,EEmz,FFgqt
Minimum,,45.50,79.35,3.65,58.05,72.29,26.28,,
,  ,45.50,79.35,3.65,58.05,72.29,26.28,,
