CC,DD,AAdn_BBpw,AAdn_BBrv,AAdk_BBtw,AAdk_BBmn,AAdk_BBdl,Average
CChv,,-10.70,35.89,11.15,-31.63,18.73,4.69
,  DDhm,78.33,46.77,20.71,59.70,-8.71,39.36
,  DDnt,-58.27,25.94,2.85,-79.04,91.97,-3.31
,  DDcl,-52.17,34.96,9.89,-75.55,-27.08,-21.99
CCst,,33.31,-2.30,13.50,-32.06,22.66,7.02
,  DDdf,-48.06,46.08,22.57,-69.59,-6.03,-11.01
,  DDlp,77.45,-87.38,12.58,-76.47,-21.40,-19.04
,  DDnw,70.53,34.41,5.34,49.88,95.41,51.11
CCbx,,76.34,42.11,14.98,15.57,26.43,35.09
,  DDrz,70.13,35.39,6.38,52.55,99.05,52.70
,  DDcs,78.20,42.52,14.10,56.17,-15.05,35.19
,  DDnt,80.68,48.43,24.47,-62.02,-4.72,17.37
Average,,32.98,25.24,13.21,-16.04,22.60,15.60
,  ,32.98,25.24,13.21,-16.04,22.60,15.60
