Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,136.84
AAdk,BBtw,CChv,DDtv,EEmn,780.24
AAdk,BBtw,CChv,DDnt,EEfh,140.39
AAdk,BBtw,CChv,DDtv,EElp,273.68
AAdk,BBtw,CChv,DDnt,EEfx,536.58
AAdk,BBtw,CChv,DDtv,EEhr,154.46
AAdk,BBst,CChv,DDnt,EEdn,929.4
AAdk,BBst,CChv,DDtv,EEmn,419.43
AAdk,BBst,CChv,DDnt,EEfh,421.69
AAdk,BBst,CChv,DDtv,EElp,807.55
AAdk,BBst,CChv,DDnt,EEfx,40.0
AAdk,BBst,CChv,DDtv,EEhr,814.38
AAdk,BBrz,CChv,DDnt,EEdn,431.22
AAdk,BBrz,CChv,DDtv,EEmn,817.58
AAdk,BBrz,CChv,DDnt,EEfh,947.05
AAdk,BBrz,CChv,DDtv,EElp,696.59
AAdk,BBrz,CChv,DDnt,EEfx,188.33
AAdk,BBrz,CChv,DDtv,EEhr,319.2
AAdk,BBtw,CChv,DDnt,EEdn,837.0
AAdk,BBtw,CChv,DDtv,EEmn,204.9
AAdk,BBtw,CChv,DDnt,EEfh,977.74
AAdk,BBtw,CChv,DDtv,EElp,985.35
AAdk,BBtw,CChv,DDnt,EEfx,867.07
AAdk,BBtw,CChv,DDtv,EEhr,487.95
AAdk,BBst,CChv,DDnt,EEdn,744.37
AAdk,BBst,CChv,DDtv,EEmn,106.61
AAdk,BBst,CChv,DDnt,EEfh,878.89
AAdk,BBst,CChv,DDtv,EElp,757.53
AAdk,BBst,CChv,DDnt,EEfx,637.56
AAdk,BBst,CChv,DDtv,EEhr,127.71
