DD,EE,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCkrs,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt
DDmx,,14.28,-20.58,15.63,-56.43,2.90,-49.95,-12.69
,  EEqz,20.27,-27.38,58.76,-81.56,-39.14,-91.92,73.02
,  EEmz,-0.71,-29.36,-74.85,-84.68,-44.81,31.00,-63.54
,  EEbhk,23.28,-5.00,62.97,-3.05,92.64,-88.92,-47.56
DDcjx,,21.48,-15.71,18.01,-36.38,47.85,-2.45,-53.92
,  EEmz,25.08,-2.72,63.60,54.53,96.00,44.91,-45.50
,  EEdhv,22.34,-16.09,61.72,-81.94,91.13,40.02,-51.30
,  EEkqy,17.01,-28.32,-71.28,-81.72,-43.57,-92.27,-64.95
DDcy,,16.64,-12.80,16.63,6.15,3.76,39.39,-10.99
,  EEmpy,23.29,-3.68,-66.47,-75.79,93.96,43.25,82.90
,  EEbkv,4.69,-28.97,56.03,44.44,-43.83,35.85,-62.88
,  EEcrv,21.95,-5.76,60.32,49.81,-38.84,39.06,-52.98
Average,,17.47,-16.36,16.76,-28.88,18.17,-4.34,-25.87
,  ,17.47,-16.36,16.76,-28.88,18.17,-4.34,-25.87
