DD,EE,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCprw,AApqr_BBlmr_CCcqx,AAgqt_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBlmr_CCbmz
Maximum,,18.83,8.12,11.41,26.63,27.93,15.68,15.46
,  ,18.83,8.12,11.41,26.63,27.93,15.68,15.46
DDmx,,16.56,6.06,7.93,24.22,25.02,15.68,14.82
,  EEbhk,5.11,6.06,1.78,24.22,25.02,15.68,14.82
,  EEqz,16.12,0.94,0.61,14.30,23.85,12.89,13.48
,  EEmz,16.56,0.75,7.93,18.89,24.14,9.16,12.46
DDcjx,,16.11,8.12,10.59,26.63,27.93,10.81,15.46
,  EEhq,1.32,8.12,5.59,26.63,27.93,10.81,15.46
,  EEkqy,16.11,2.08,8.92,20.36,27.92,0.50,0.22
,  EEdhv,4.96,5.74,10.59,22.92,24.54,5.53,14.01
DDcy,,18.83,5.07,11.41,25.83,26.48,13.35,15.11
,  EEmpy,18.83,5.07,11.41,25.83,25.74,8.29,15.11
,  EEcrv,4.80,2.67,9.73,22.18,26.48,13.35,1.29
,  EEbkv,16.45,1.16,6.58,11.90,25.88,10.96,12.44
