CC,DD,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBhpt,AAcy_BBbkv,Average
CChpx,DDcmp,33.21,-48.57,-24.85,8.12,67.94,-37.87,-83.87,-12.27
,DDdlz,39.60,85.04,-4.52,19.82,67.18,94.75,57.33,51.31
,DDlmr,22.70,77.81,-38.60,2.17,-65.82,-40.88,42.99,0.05
CCfnw,DDkrs,20.96,-53.39,94.49,1.65,61.36,-41.91,-87.56,-0.63
,DDqz,30.02,78.69,-26.06,7.89,-62.98,90.61,-86.14,4.58
,DDgv,36.63,-46.65,-11.01,18.48,69.22,89.31,-72.88,11.87
CCbt,DDmx,20.54,72.35,-33.51,-0.30,61.79,86.59,-88.39,17.01
,DDcwz,18.71,78.83,-33.24,5.98,63.96,89.95,43.86,38.29
,DDbmz,-94.84,80.13,-17.90,14.53,-61.22,91.25,50.74,8.96
Average,,14.17,36.03,-10.58,8.70,22.38,46.87,-24.88,13.24
