AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,903.76
AAdk,BBtw,CChv,DDtv,EEmn,523.7
AAdk,BBtw,CChv,DDnt,EEfh,142.43
AAdk,BBtw,CChv,DDtv,EElp,272.9
AAdk,BBtw,CChv,DDnt,EEfx,659.31
AAdk,BBtw,CChv,DDtv,EEdn,280.04
AAdk,BBst,CChv,DDnt,EEdn,803.32
AAdk,BBst,CChv,DDtv,EEmn,550.95
AAdk,BBst,CChv,DDnt,EEfh,551.43
AAdk,BBst,CChv,DDtv,EElp,808.63
AAdk,BBst,CChv,DDnt,EEfx,305.93
AAdk,BBst,CChv,DDtv,EEdn,946.52
AAdk,BBtw,CChv,DDnt,EEdn,435.9
AAdk,BBtw,CChv,DDtv,EEmn,50.68
AAdk,BBtw,CChv,DDnt,EEfh,49.92
AAdk,BBtw,CChv,DDtv,EElp,59.05
AAdk,BBtw,CChv,DDnt,EEfx,67.32
AAdk,BBtw,CChv,DDtv,EEdn,710.47
AAdk,BBst,CChv,DDnt,EEdn,334.18
AAdk,BBst,CChv,DDtv,EEmn,346.97
AAdk,BBst,CChv,DDnt,EEfh,358.49
AAdk,BBst,CChv,DDtv,EElp,232.4
AAdk,BBst,CChv,DDnt,EEfx,495.32
AAdk,BBst,CChv,DDtv,EEdn,114.67
