DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCbpv,Maximum
DDcy,,26.95,13.48,23.38,8.70,18.85,15.73,25.77,26.95
,  EEmpy,26.95,13.48,23.38,8.70,18.85,15.73,25.77,26.95
,  EEbkv,20.63,3.69,19.75,1.43,14.38,9.36,24.80,24.80
,  EEcrv,20.00,12.65,5.24,5.90,17.31,13.78,24.55,24.55
DDcjx,,25.81,13.97,25.31,9.47,27.64,18.74,27.47,27.64
,  EEdhv,24.36,12.52,23.06,6.89,18.43,15.57,25.02,25.02
,  EEkqy,21.93,11.45,19.36,3.55,27.64,12.12,26.90,27.64
,  EEmz,25.81,13.97,25.31,9.47,6.81,18.74,27.47,27.47
DDmx,,25.96,11.83,23.85,4.85,18.90,15.47,25.98,25.98
,  EEbhk,25.96,0.17,23.85,4.85,18.90,15.47,25.98,25.98
,  EEqz,19.05,11.83,21.74,4.33,4.28,13.47,23.39,23.39
,  EEmz,19.45,7.09,19.82,0.20,14.11,10.53,25.69,25.69
