DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbpv
DDcjx,EEhq,60.85,-8.40,43.76,-6.65,-97.41,74.18
,EEkqy,54.22,-24.30,-95.96,-44.76,11.01,71.25
,EEdhv,-76.49,-14.24,40.35,-37.25,-1.23,74.37
,EEbkv,-61.35,-1.84,-80.44,-27.33,32.21,-48.58
DDcy,EEmz,-66.30,-3.74,47.37,-29.68,32.69,-49.74
,EEcrv,53.32,-18.54,-97.43,85.30,30.79,73.92
,EEmpy,59.16,-10.02,41.44,95.40,30.66,-55.86
,EEbkv,-76.38,-26.65,-96.94,81.23,-0.82,70.70
DDmx,EEmz,52.50,-26.35,34.32,81.57,-0.13,67.70
,EEqz,-73.49,-27.01,38.68,85.26,12.46,70.84
,EEksy,61.84,-6.11,38.55,98.44,32.84,-50.88
,EEbhk,-70.28,-14.37,-87.29,-35.58,27.01,-53.42
