CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBcjx,EE,FF
CCcy,,63.54,23.03,1.10,46.37,,
,  DDbkv,63.54,23.03,1.10,46.37,EEmz,FFlmr
,  DDmx,87.24,40.78,17.10,55.09,EEmz,FFlmr
,  DDbmz,78.00,32.39,4.63,49.89,EEmz,FFgqt
CCbt,,61.96,17.03,0.29,44.59,,
,  DDmpy,84.80,37.07,13.91,51.97,EEmz,FFgqt
,  DDhpt,70.11,23.78,2.93,47.46,EEmz,FFlmr
,  DDmx,61.96,17.03,0.29,44.59,EEmz,FFgqt
CCkqy,,66.65,24.35,2.09,47.83,,
,  DDbkv,94.02,43.05,18.47,59.20,EEmz,FFgqt
,  DDcwz,66.65,24.35,2.09,47.83,EEmz,FFgqt
,  DDbsz,81.66,36.45,5.90,49.86,EEmz,FFlmr
