DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs
DDmx,EEbhk,44.59,-54.31,-82.20,9.52,-10.58,88.31,-37.89
,EEqz,37.44,-59.07,-94.02,5.80,-20.73,69.17,-45.18
,EEmz,34.99,-56.45,-85.99,2.88,-16.16,77.36,-38.84
DDcy,EEcrv,41.35,-56.11,-97.89,6.05,-15.84,77.39,-39.74
,EEbkv,37.56,-31.22,-86.02,10.59,-13.80,26.95,-38.28
,EEmpy,45.27,-53.72,-79.50,10.76,-8.01,90.81,-35.23
DDcjx,EEhq,46.04,-55.44,-75.71,11.20,-4.94,95.35,-35.57
,EEkqy,41.26,-52.26,-79.53,11.81,-12.96,-21.46,-37.61
,EEdhv,42.59,-58.31,-86.29,5.95,-15.19,83.98,-39.59
Average,,41.23,-52.99,-85.24,8.28,-13.13,65.32,-38.66
