AA,BB,CC,DD,EE,FF,Value
AA,BB,CC,DD,EE,FF,Value
AAdk,BBtw,CChv,DDnt,EEdn,FFrv,96.37
AAdk,BBtw,CCtv,DDmn,EEdn,FFrv,65.93
AAdk,BBtw,CChv,DDcl,EEdn,FFrv,35.73
AAdk,BBtw,CCtv,DDhz,EEdn,FFrv,6.21
AAst,BBnw,CChv,DDnt,EEdn,FFrv,70.06
AAst,BBnw,CCtv,DDmn,EEdn,FFrv,73.81
AAst,BBnw,CChv,DDcl,EEdn,FFrv,43.83
AAst,BBnw,CCtv,DDhz,EEdn,FFrv,76.82
AAdk,BBpw,CChv,DDnt,EEdn,FFrv,46.25
AAdk,BBpw,CCtv,DDmn,EEdn,FFrv,47.69
AAdk,BBpw,CChv,DDcl,EEdn,FFrv,80.01
AAdk,BBpw,CCtv,DDhz,EEdn,FFrv,82.67
AAst,BBlp,CChv,DDnt,EEdn,FFrv,53.51
AAst,BBlp,CCtv,DDmn,EEdn,FFrv,54.14
AAst,BBlp,CChv,DDcl,EEdn,FFrv,53.64
AAst,BBlp,CCtv,DDhz,EEdn,FFrv,89.85
