AA,BB,CC,Value
AA,BB,CC,Value
AAdk,BBtw,CChv,0.26
AAdk,BBdn,CCrv,1.99
AAdk,BBnw,CCtv,2.02
AAdk,BBtw,CCrz,3.65
AAdk,BBdn,CCfh,5.41
AAdk,BBnw,CCdl,8.66
AAdk,BBtw,CCjz,10.42
AAdk,BBdn,CChv,12.87
AAdk,BBnw,CCrv,13.94
AAnt,BBtw,CChv,13.31
AAnt,BBdn,CCrv,15.87
AAnt,BBnw,CCtv,16.87
AAnt,BBtw,CCrz,16.71
AAnt,BBdn,CCfh,19.89
AAnt,BBnw,CCdl,19.32
AAnt,BBtw,CCjz,20.72
AAnt,BBdn,CChv,20.3
AAnt,BBnw,CCrv,22.05
AAst,BBtw,CChv,22.97
AAst,BBdn,CCrv,24.66
AAst,BBnw,CCtv,25.11
AAst,BBtw,CCrz,22.43
AAst,BBdn,CCfh,27.25
AAst,BBnw,CCdl,23.7
AAst,BBtw,CCjz,23.17
AAst,BBdn,CChv,23.56
AAst,BBnw,CCrv,24.5
