DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt
Maximum,,26.11,17.91,23.70,17.77,14.68,20.44,27.93,7.69
,  ,26.11,17.91,23.70,17.77,14.68,20.44,27.93,7.69
DDcy,,25.02,17.03,23.51,13.69,13.89,19.19,27.93,7.12
,  EEmz,25.02,17.03,23.51,13.69,13.89,19.19,8.01,7.12
,  EEbkv,14.35,14.37,20.60,4.30,9.59,17.43,27.93,1.09
,  EEcrv,16.54,16.18,22.76,13.29,13.27,18.38,22.85,4.32
DDmx,,24.62,16.03,23.12,15.17,13.75,19.48,26.16,3.05
,  EEmz,17.33,14.36,20.38,9.96,2.69,17.79,26.16,0.50
,  EEqz,15.78,15.76,0.90,12.48,11.28,18.59,5.68,3.05
,  EEbhk,24.62,16.03,23.12,15.17,13.75,19.48,7.91,0.60
DDcjx,,26.11,17.91,23.70,17.77,14.68,20.44,25.93,7.69
,  EEbkv,26.11,17.91,23.70,17.77,14.68,20.44,8.41,7.69
,  EEdhv,18.88,16.41,22.88,14.72,13.16,17.19,25.93,1.19
,  EEkqy,20.68,15.22,20.89,0.59,10.58,5.06,25.05,2.01
