CC,DD,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBcjx,AApqr_BBnqx
CCfnw,,-46.82,-16.76,17.47,60.27,-10.48,23.75
,  DDmx,60.04,-15.93,45.24,90.78,-59.64,35.36
,  DDkrs,-77.49,-31.89,-91.68,-54.80,62.17,3.62
,  DDlmr,-67.87,-2.21,49.60,94.86,-57.90,36.90
,  DDcmp,-70.45,-5.42,42.73,87.14,-63.11,26.59
,  DDcwz,-78.35,-28.37,41.47,83.35,66.07,16.28
CCbt,,-48.59,1.72,-11.01,6.32,-37.87,19.05
,  DDmx,-78.74,-32.63,37.41,73.59,-66.61,2.41
,  DDkrs,-68.27,-5.49,-81.34,92.93,-57.58,35.74
,  DDlmr,-77.70,96.90,37.10,-51.20,-67.68,12.53
,  DDbmz,58.38,-23.93,-89.99,-40.29,69.42,27.38
,  DDqz,-76.63,-26.23,41.78,-43.42,-66.90,17.21
Average,,-47.71,-7.52,3.23,33.29,-24.18,21.40
,  ,-47.71,-7.52,3.23,33.29,-24.18,21.40
