DD,EE,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt,AApqr_BBhpt_CCbt,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs
DDcy,,20.16,6.30,4.61,-11.23,-11.06
,  EEmz,32.53,70.95,-18.17,-40.01,-68.73
,  EEmpy,26.14,-54.63,-27.39,88.69,-69.19
,  EEbkv,7.14,66.58,-33.86,-49.20,44.91
,  EEcrv,14.83,-57.69,97.87,-44.39,48.79
DDcjx,,-10.80,7.05,40.39,22.69,-9.01
,  EEdhv,17.66,-56.15,99.89,-42.36,52.62
,  EEbkv,-94.49,-58.54,-7.02,-39.74,63.03
,  EEhq,27.55,75.26,-26.53,88.96,-69.47
,  EEkqy,6.08,67.64,95.24,83.89,-82.22
DDmx,,-12.88,-59.77,35.95,-11.66,-45.50
,  EEqz,13.66,-58.82,-31.11,-45.07,-82.98
,  EEmz,6.49,-67.03,94.26,79.52,-86.28
,  EEbhk,26.42,-55.90,100.00,-41.57,-72.88
,  EEksy,-98.08,-57.33,-19.33,-39.52,60.12
