CC,DD,AApqr_BBbkv,AApqr_BBbpv,AApqr_BBnqx,AAmz_BBhpt,AAmz_BBcjx,AAmz_BBgqt
CCfnw,DDkrs,-81.35,87.39,11.01,-24.05,74.53,33.52
,DDqz,57.94,98.10,25.48,-22.29,-51.24,37.48
,DDmx,70.41,-27.08,30.70,-3.32,-44.05,-86.75
CCbt,DDbmz,68.74,-29.23,-99.39,-9.15,81.97,-87.34
,DDcwz,53.91,-35.98,19.53,-22.19,72.65,36.59
,DDmx,45.87,86.05,2.56,-30.37,73.42,-98.06
CChpx,DDlmr,51.58,89.36,17.93,-27.69,75.84,35.36
,DDcmp,61.63,99.04,26.94,-18.00,77.11,38.17
,DDkrs,72.19,-26.83,31.70,-2.78,-43.66,44.61
Average,,44.55,37.87,7.38,-17.76,35.17,-5.16
