DD,EE,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,Maximum
DDcy,,26.54,17.52,20.00,23.56,3.63,11.06,27.85,27.85
,  EEbkv,26.54,13.40,4.86,19.93,1.26,7.04,19.01,26.54
,  EEmz,11.80,17.52,20.00,23.56,2.41,11.06,21.09,23.56
,  EEqz,25.02,15.56,19.72,20.91,3.63,9.89,27.85,27.85
DDmx,,25.90,14.69,20.31,21.17,3.66,10.58,26.05,26.05
,  EEmz,22.52,10.13,0.21,18.59,0.81,6.69,20.34,22.52
,  EEcrv,25.90,8.17,20.31,21.17,3.66,10.58,23.89,25.90
,  EEkqy,25.76,14.69,17.27,18.35,1.69,8.29,26.05,26.05
Maximum,,26.54,17.52,20.31,23.56,3.66,11.06,27.85,27.85
,  ,26.54,17.52,20.31,23.56,3.66,11.06,27.85,27.85
