CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBgqt,AAmz_BBbpv,Average
CCfnw,,-11.55,18.99,-32.15,-13.64,-4.77,93.19,8.35
,  DDkrs,67.99,9.47,-80.11,-25.89,32.12,88.52,15.35
,  DDqz,-54.48,19.41,52.54,-12.59,-91.57,91.43,0.79
,  DDmx,-48.15,28.10,-68.88,-2.45,45.15,99.63,8.90
CChpx,,-52.59,-22.93,-30.97,-8.75,-46.37,7.62,-25.67
,  DDkrs,-45.09,-99.70,-67.35,-1.21,45.08,99.45,-11.47
,  DDlmr,-61.89,10.58,-80.37,-16.54,-93.84,-39.95,-47.00
,  DDcmp,-50.78,20.33,54.80,-8.50,-90.35,-36.65,-18.53
CCbt,,-14.55,16.18,51.30,-16.39,37.73,-39.27,5.83
,  DDbmz,-48.65,22.52,59.32,-4.99,44.99,-35.33,6.31
,  DDcwz,71.03,18.49,50.36,-16.42,37.82,-39.07,20.37
,  DDmx,-66.04,7.53,44.22,-27.75,30.38,-43.42,-9.18
Average,,-26.23,4.08,-3.94,-12.93,-4.47,20.51,-3.83
,  ,-26.23,4.08,-3.94,-12.93,-4.47,20.51,-3.83
