DD,EE,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs
DDmx,,2.61,-13.32,-13.77,8.28,-8.95
,  EEqz,64.46,9.70,-21.95,-88.81,-45.65
,  EEbhk,72.72,29.99,-15.26,43.99,-37.05
,  EEmz,-72.95,2.50,-5.33,34.96,78.34
,  EEbkv,-53.79,-95.48,-12.52,42.96,-31.45
DDcjx,,6.56,25.56,-14.59,-52.44,-5.58
,  EEqz,78.26,35.97,-2.98,-73.50,-27.86
,  EEmz,72.11,32.18,-14.16,-88.22,-36.08
,  EEkqy,-66.08,7.66,-22.77,-89.67,-45.21
,  EEdhv,-58.06,26.42,-18.47,41.62,86.85
DDcy,,-60.34,22.60,-15.83,-52.49,57.62
,  EEcrv,-62.21,21.84,-19.74,41.31,85.24
,  EEmpy,-55.43,30.50,-14.34,-84.13,91.77
,  EEkqy,-53.48,33.51,-5.77,-76.84,-29.16
,  EEbkv,-70.24,4.56,-23.49,-90.29,82.65
