CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBbpv,AAmz_BBgqt,Average
CCbt,DDmx,90.58,52.46,-61.14,1.53,-42.69,30.67,11.90
,DDbmz,-18.21,60.55,75.17,19.50,-36.00,37.78,23.13
,DDcwz,98.35,-72.17,-56.08,12.49,-40.63,-95.07,-25.52
,DDmpy,-7.72,-64.14,77.03,21.52,92.57,43.33,27.10
CChpx,DDcmp,-24.63,59.84,-54.47,17.89,-2.77,36.48,5.39
,DDdlz,-9.51,-64.11,77.78,21.63,-34.66,-85.46,-15.72
,DDkrs,-2.07,67.80,84.66,28.05,96.54,44.25,53.21
,DDlmr,-37.53,53.71,-57.07,10.09,86.12,-98.26,-7.16
CCfnw,DDqz,-26.61,57.59,-55.50,13.88,90.91,35.35,19.27
,DDgv,-18.26,62.34,76.37,20.19,92.69,-88.83,24.08
,DDmx,-3.79,-62.96,80.75,27.40,92.50,-85.34,8.09
,DDkrs,99.71,53.84,67.26,4.94,-42.58,-98.64,14.09
Average,,11.69,17.06,21.23,16.59,29.33,-26.98,11.49
