DD,EE,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBlsx_CCkrs,AAgqt_BBnry_CCbpv,Average
DDcy,,71.12,-48.02,15.31,-26.56,7.50,-8.49,1.81
,  EEjvz,85.99,-73.47,25.41,43.14,-10.46,-88.84,-3.04
,  EEbkv,40.16,-82.88,5.63,-95.39,-37.06,-73.70,-40.54
,  EEmpy,80.53,53.03,17.48,38.22,-19.87,65.21,39.10
,  EEcrv,77.81,-88.74,12.72,-92.21,97.38,63.36,11.72
DDmx,,-18.56,-48.45,11.82,-59.00,3.61,-33.00,-23.93
,  EEksy,-44.35,55.93,24.18,42.76,-12.00,69.89,22.73
,  EEqz,-53.95,-80.54,11.06,-92.54,94.17,-66.89,-31.45
,  EEbhk,-48.73,-79.54,13.01,-89.39,-23.23,-64.75,-48.77
,  EEmz,72.78,-89.65,-0.96,-96.83,-44.49,-70.23,-38.23
DDcjx,,-15.67,-46.79,17.09,6.12,-20.76,-6.50,-11.08
,  EEdhv,-49.10,50.67,13.40,38.43,-30.52,63.29,14.36
,  EEhq,-46.60,-74.38,20.94,35.48,-12.14,-60.52,-22.87
,  EEkqy,75.38,-90.69,5.37,-93.80,-35.46,-68.38,-34.60
,  EEmz,-42.35,-72.76,28.66,44.36,-4.91,39.60,-1.23
