Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,640.29
AApqr,BBnqx,CCbt,DDcy,EEbkv,910.05
AApqr,BBnqx,CCbt,DDcjx,EEkqy,15.27
AApqr,BBnqx,CCbt,DDmx,EEqz,401.36
AApqr,BBnqx,CCbt,DDcy,EEcrv,531.42
AApqr,BBnqx,CCbt,DDcjx,EEdhv,148.63
AApqr,BBnqx,CCbt,DDmx,EEbhk,531.85
AApqr,BBnqx,CCbt,DDcy,EEmpy,920.05
AApqr,BBnqx,CCbt,DDcjx,EEmz,155.99
AApqr,BBfnw,CCbt,DDmx,EEmz,805.46
AApqr,BBfnw,CCbt,DDcy,EEbkv,427.71
AApqr,BBfnw,CCbt,DDcjx,EEkqy,683.46
AApqr,BBfnw,CCbt,DDmx,EEqz,687.87
AApqr,BBfnw,CCbt,DDcy,EEcrv,691.25
AApqr,BBfnw,CCbt,DDcjx,EEdhv,436.75
AApqr,BBfnw,CCbt,DDmx,EEbhk,182.95
AApqr,BBfnw,CCbt,DDcy,EEmpy,440.08
AApqr,BBfnw,CCbt,DDcjx,EEmz,186.02
AApqr,BBlmr,CCbt,DDmx,EEmz,63.07
AApqr,BBlmr,CCbt,DDcy,EEbkv,710.74
AApqr,BBlmr,CCbt,DDcjx,EEkqy,840.72
AApqr,BBlmr,CCbt,DDmx,EEqz,72.59
AApqr,BBlmr,CCbt,DDcy,EEcrv,714.8
AApqr,BBlmr,CCbt,DDcjx,EEdhv,201.54
AApqr,BBlmr,CCbt,DDmx,EEbhk,590.11
AApqr,BBlmr,CCbt,DDcy,EEmpy,463.76
AApqr,BBlmr,CCbt,DDcjx,EEmz,590.15
AApqr,BBnqx,CCbt,DDmx,EEmz,849.07
AApqr,BBnqx,CCbt,DDcy,EEbkv,977.81
AApqr,BBnqx,CCbt,DDcjx,EEkqy,718.25
AApqr,BBnqx,CCbt,DDmx,EEqz,214.67
AApqr,BBnqx,CCbt,DDcy,EEcrv,600.42
AApqr,BBnqx,CCbt,DDcjx,EEdhv,346.02
AApqr,BBnqx,CCbt,DDmx,EEbhk,350.32
AApqr,BBnqx,CCbt,DDcy,EEmpy,607.64
AApqr,BBnqx,CCbt,DDcjx,EEmz,97.03
AApqr,BBfnw,CCbt,DDmx,EEmz,609.68
AApqr,BBfnw,CCbt,DDcy,EEbkv,98.62
AApqr,BBfnw,CCbt,DDcjx,EEkqy,614.57
AApqr,BBfnw,CCbt,DDmx,EEqz,237.89
AApqr,BBfnw,CCbt,DDcy,EEcrv,367.95
AApqr,BBfnw,CCbt,DDcjx,EEdhv,369.85
AApqr,BBfnw,CCbt,DDmx,EEbhk,370.11
AApqr,BBfnw,CCbt,DDcy,EEmpy,372.13
AApqr,BBfnw,CCbt,DDcjx,EEmz,118.65
