CC,DD,EE,FF,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,Minimum
CCcy,DDbmz,EEmz,FFgqt,40.38,75.43,57.63,7.22,94.95,7.22
,DDbkv,EEmz,FFlmr,37.45,69.97,52.14,0.13,86.80,0.13
,DDmx,EEmz,FFlmr,46.05,80.40,66.02,27.26,96.71,27.26
CCkqy,DDbkv,EEmz,FFgqt,47.86,85.35,66.08,29.94,98.94,29.94
,DDbsz,EEmz,FFlmr,42.43,76.46,59.50,11.32,95.52,11.32
,DDcwz,EEmz,FFgqt,39.72,70.47,53.24,2.79,85.33,2.79
CCbt,DDhpt,EEmz,FFlmr,40.33,67.75,52.93,4.20,89.59,4.20
,DDmpy,EEmz,FFgqt,44.53,76.41,0.23,25.60,96.20,0.23
,DDmx,EEmz,FFgqt,34.61,67.49,49.34,0.49,86.00,0.49
Minimum,,,,34.61,67.49,0.23,0.13,85.33,0.13
