DD,EE,AAgqt_BBhpt_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AAhpx_BBbwx_CCcqx,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx
DDmx,EEqz,-87.58,-38.55,36.28,86.65,-58.84,6.23,-16.01,61.64,-69.98
,EEksy,-75.52,-29.81,53.35,97.47,-49.94,17.51,-5.13,74.86,-64.49
,EEmz,-94.65,-51.39,25.44,79.94,-58.58,0.80,-25.44,56.45,-73.24
,EEbhk,-83.51,-33.41,44.47,92.96,-53.22,10.34,-10.26,67.90,-69.66
DDcjx,EEdhv,-82.13,-37.38,44.77,89.83,-53.29,9.88,-16.59,63.04,-68.90
,EEmz,-73.59,-26.68,55.66,-0.87,-54.89,25.01,-2.63,78.62,-69.33
,EEhq,-76.41,-32.85,47.12,97.96,-50.06,10.02,-6.43,74.19,-64.28
,EEkqy,-91.70,-39.97,30.28,86.66,-58.26,6.78,-17.31,56.05,-70.62
DDcy,EEjvz,-75.26,-26.52,53.34,-56.12,-52.64,19.24,-4.68,76.33,-63.45
,EEmpy,-80.58,-33.96,47.27,93.25,-52.30,11.20,-9.12,69.95,-68.73
,EEbkv,-92.78,-45.36,27.39,80.34,-58.33,5.19,-22.69,56.26,-76.60
,EEcrv,-83.90,-37.34,37.66,88.95,-58.29,8.30,-15.79,62.89,-68.28
