Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,771.46
AApqr,BBnqx,CCbt,DDcy,EEbkv,139.53
AApqr,BBnqx,CCbt,DDcjx,EEkqy,139.78
AApqr,BBnqx,CCbt,DDmx,EEqz,908.97
AApqr,BBnqx,CCbt,DDcy,EEcrv,782.31
AApqr,BBnqx,CCbt,DDcjx,EEdhv,145.37
AApqr,BBnqx,CCbt,DDmx,EEbhk,657.28
AApqr,BBnqx,CCbt,DDcy,EEmz,403.7
AApqr,BBnqx,CCbt,DDcjx,EEbkv,407.27
AApqr,BBfnw,CCbt,DDmx,EEmz,28.25
AApqr,BBfnw,CCbt,DDcy,EEbkv,156.02
AApqr,BBfnw,CCbt,DDcjx,EEkqy,415.17
AApqr,BBfnw,CCbt,DDmx,EEqz,416.78
AApqr,BBfnw,CCbt,DDcy,EEcrv,34.51
AApqr,BBfnw,CCbt,DDcjx,EEdhv,418.05
AApqr,BBfnw,CCbt,DDmx,EEbhk,167.39
AApqr,BBfnw,CCbt,DDcy,EEmz,39.3
AApqr,BBfnw,CCbt,DDcjx,EEbkv,167.74
AApqr,BBlmr,CCbt,DDmx,EEmz,174.24
AApqr,BBlmr,CCbt,DDcy,EEbkv,177.36
AApqr,BBlmr,CCbt,DDcjx,EEkqy,692.0
AApqr,BBlmr,CCbt,DDmx,EEqz,53.9
AApqr,BBlmr,CCbt,DDcy,EEcrv,820.62
AApqr,BBlmr,CCbt,DDcjx,EEdhv,441.09
AApqr,BBlmr,CCbt,DDmx,EEbhk,953.81
AApqr,BBlmr,CCbt,DDcy,EEmz,570.04
AApqr,BBlmr,CCbt,DDcjx,EEbkv,698.68
AApqr,BBnqx,CCbt,DDmx,EEmz,701.59
AApqr,BBnqx,CCbt,DDcy,EEbkv,826.41
AApqr,BBnqx,CCbt,DDcjx,EEkqy,194.8
AApqr,BBnqx,CCbt,DDmx,EEqz,67.3
AApqr,BBnqx,CCbt,DDcy,EEcrv,582.79
AApqr,BBnqx,CCbt,DDcjx,EEdhv,839.16
AApqr,BBnqx,CCbt,DDmx,EEbhk,583.38
AApqr,BBnqx,CCbt,DDcy,EEmz,842.21
AApqr,BBnqx,CCbt,DDcjx,EEbkv,586.09
AApqr,BBfnw,CCbt,DDmx,EEmz,82.01
AApqr,BBfnw,CCbt,DDcy,EEbkv,851.98
AApqr,BBfnw,CCbt,DDcjx,EEkqy,214.76
AApqr,BBfnw,CCbt,DDmx,EEqz,219.84
AApqr,BBfnw,CCbt,DDcy,EEcrv,997.35
AApqr,BBfnw,CCbt,DDcjx,EEdhv,620.72
AApqr,BBfnw,CCbt,DDmx,EEbhk,889.64
AApqr,BBfnw,CCbt,DDcy,EEmz,252.79
AApqr,BBfnw,CCbt,DDcjx,EEbkv,766.82
