DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm
DDmx,,24.85,15.43,23.86,13.05,27.55,27.69,5.75,26.03
,  EEqz,21.19,14.25,1.26,9.01,10.20,24.07,3.28,17.38
,  EEbhk,24.85,15.43,23.86,13.05,12.22,24.99,5.75,19.48
,  EEmz,18.98,0.09,20.97,2.31,27.55,27.69,0.07,26.03
DDcy,,25.37,15.63,24.95,15.23,10.04,27.63,7.36,19.05
,  EEcrv,21.85,14.46,21.83,13.65,10.04,27.63,4.10,18.21
,  EEbkv,19.95,13.35,21.33,3.10,8.41,27.33,1.50,3.55
,  EEmz,25.37,15.63,24.95,15.23,3.49,25.88,7.36,19.05
DDcjx,,25.93,14.86,25.59,17.89,27.00,27.48,5.91,16.10
,  EEkqy,20.54,14.86,21.36,4.37,27.00,27.48,2.98,16.10
,  EEbkv,25.93,3.62,25.59,17.89,12.79,26.37,3.65,7.63
,  EEdhv,16.07,2.96,22.49,14.50,11.41,24.82,5.91,6.89
