Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,768.33
AApqr,BBnqx,CCbt,DDcy,EEbkv,525.29
AApqr,BBnqx,CCbt,DDcjx,EEkqy,910.79
AApqr,BBnqx,CCbt,DDmx,EEqz,13.69
AApqr,BBnqx,CCbt,DDcy,EEcrv,146.95
AApqr,BBnqx,CCbt,DDcjx,EEdhv,279.81
AApqr,BBnqx,CCbt,DDmx,EEbhk,26.57
AApqr,BBnqx,CCbt,DDcy,EEmpy,671.53
AApqr,BBnqx,CCbt,DDcjx,EEmz,928.5
AApqr,BBfnw,CCbt,DDmx,EEmz,804.36
AApqr,BBfnw,CCbt,DDcy,EEbkv,293.29
AApqr,BBfnw,CCbt,DDcjx,EEkqy,166.87
AApqr,BBfnw,CCbt,DDmx,EEqz,679.93
AApqr,BBfnw,CCbt,DDcy,EEcrv,42.83
AApqr,BBfnw,CCbt,DDcjx,EEdhv,172.82
AApqr,BBfnw,CCbt,DDmx,EEbhk,560.92
AApqr,BBfnw,CCbt,DDcy,EEmpy,821.87
AApqr,BBfnw,CCbt,DDcjx,EEmz,54.87
AApqr,BBlmr,CCbt,DDmx,EEmz,955.25
AApqr,BBlmr,CCbt,DDcy,EEbkv,446.3
AApqr,BBlmr,CCbt,DDcjx,EEkqy,959.61
AApqr,BBlmr,CCbt,DDmx,EEqz,449.31
AApqr,BBlmr,CCbt,DDcy,EEcrv,834.79
AApqr,BBlmr,CCbt,DDcjx,EEdhv,67.1
AApqr,BBlmr,CCbt,DDmx,EEbhk,326.24
AApqr,BBlmr,CCbt,DDcy,EEmpy,967.38
AApqr,BBlmr,CCbt,DDcjx,EEmz,463.4
AApqr,BBnqx,CCbt,DDmx,EEmz,87.38
AApqr,BBnqx,CCbt,DDcy,EEbkv,93.8
AApqr,BBnqx,CCbt,DDcjx,EEkqy,94.85
AApqr,BBnqx,CCbt,DDmx,EEqz,350.84
AApqr,BBnqx,CCbt,DDcy,EEcrv,866.3
AApqr,BBnqx,CCbt,DDcjx,EEdhv,610.32
AApqr,BBnqx,CCbt,DDmx,EEbhk,869.12
AApqr,BBnqx,CCbt,DDcy,EEmpy,998.31
AApqr,BBnqx,CCbt,DDcjx,EEmz,359.81
AApqr,BBfnw,CCbt,DDmx,EEmz,743.34
AApqr,BBfnw,CCbt,DDcy,EEbkv,872.03
AApqr,BBfnw,CCbt,DDcjx,EEkqy,747.98
AApqr,BBfnw,CCbt,DDmx,EEqz,368.03
AApqr,BBfnw,CCbt,DDcy,EEcrv,628.38
AApqr,BBfnw,CCbt,DDcjx,EEdhv,119.25
AApqr,BBfnw,CCbt,DDmx,EEbhk,120.45
AApqr,BBfnw,CCbt,DDcy,EEmpy,507.55
AApqr,BBfnw,CCbt,DDcjx,EEmz,254.59
