CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBlt,AApqr_BBnqx,AApqr_BBqz,EE,FF
Minimum,,22.88,62.05,36.77,76.53,87.72,3.77,49.56,,
,  ,22.88,62.05,36.77,76.53,87.72,3.77,49.56,,
CCcy,,24.37,65.68,40.09,78.19,89.07,6.70,52.95,,
,  DDhpt,27.64,69.84,45.19,80.71,89.07,8.81,59.41,EEmz,FFlmr
,  DDmx,36.78,74.25,47.22,85.50,96.36,14.86,60.54,EEmz,FFlmr
,  DDbkv,24.37,65.68,40.09,78.19,89.56,6.70,52.95,EEmz,FFlmr
CCbt,,22.88,62.05,36.77,76.53,87.72,3.77,49.56,,
,  DDmx,22.88,62.05,36.77,76.53,87.72,3.77,49.56,EEmz,FFgqt
,  DDcwz,27.37,67.65,41.36,80.83,90.76,7.82,57.61,EEmz,FFgqt
,  DDbmz,29.39,72.65,46.48,84.28,96.87,12.66,60.27,EEmz,FFgqt
