Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,775.52
AAdk,BBtw,CChv,DDtv,EEmn,528.58
AAdk,BBtw,CChv,DDnt,EEfh,278.39
AAdk,BBtw,CChv,DDtv,EElp,22.97
AAdk,BBtw,CChv,DDnt,EEfx,538.54
AAdk,BBtw,CChv,DDtv,EEdn,805.98
AAdk,BBst,CChv,DDnt,EEdn,806.51
AAdk,BBst,CChv,DDtv,EEmn,937.26
AAdk,BBst,CChv,DDnt,EEfh,940.67
AAdk,BBst,CChv,DDtv,EElp,432.63
AAdk,BBst,CChv,DDnt,EEfx,818.48
AAdk,BBst,CChv,DDtv,EEdn,568.58
AAdk,BBrz,CChv,DDnt,EEdn,59.32
AAdk,BBrz,CChv,DDtv,EEmn,449.01
AAdk,BBrz,CChv,DDnt,EEfh,327.52
AAdk,BBrz,CChv,DDtv,EElp,584.52
AAdk,BBrz,CChv,DDnt,EEfx,969.46
AAdk,BBrz,CChv,DDtv,EEdn,75.01
AAdk,BBtw,CChv,DDnt,EEdn,972.74
AAdk,BBtw,CChv,DDtv,EEmn,601.7
AAdk,BBtw,CChv,DDnt,EEfh,220.74
AAdk,BBtw,CChv,DDtv,EElp,864.18
AAdk,BBtw,CChv,DDnt,EEfx,99.4
AAdk,BBtw,CChv,DDtv,EEdn,227.36
AAdk,BBst,CChv,DDnt,EEdn,488.61
AAdk,BBst,CChv,DDtv,EEmn,498.42
AAdk,BBst,CChv,DDnt,EEfh,499.75
AAdk,BBst,CChv,DDtv,EElp,882.71
AAdk,BBst,CChv,DDnt,EEfx,759.93
AAdk,BBst,CChv,DDtv,EEdn,504.21
